urlLength,hostnameLength,pathLength,dotCount,dashCount,atCount,questionCount,digitCount,digitRatio,hasIpAddress,hasSensitiveWords,hasDoubleSlashRedirect,hasHttpsTokenInDomain,nanEntropy,nanRelativeEntropy,status
19.0,11.0,1.0,2.0,0.0,0.0,0.0,4.0,0.21052631578947367,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,1
60.0,13.0,40.0,2.0,1.0,0.0,0.0,5.0,0.08333333333333333,0.0,0.0,0.0,0.0,1.5709505944546687,0.2207296843717695,0
45.0,24.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3787834934861753,0.3585169326019688,0
125.0,26.0,91.0,3.0,5.0,0.0,0.0,11.0,0.088,0.0,0.0,0.0,0.0,1.842737648613667,0.30867505457724953,0
29.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
51.0,15.0,29.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.360964047443681,0.4573121916664634,1
37.0,17.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6577427265048887,0.1977789925390282,1
34.0,25.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4488156357251847,0.4013580026428195,0
31.0,23.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8423709931771084,0.19555484077389096,0
27.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
79.0,18.0,53.0,4.0,1.0,0.0,0.0,8.0,0.10126582278481013,0.0,0.0,0.0,0.0,2.271782221599798,0.9063253359659834,0
67.0,10.0,50.0,1.0,7.0,0.0,0.0,2.0,0.029850746268656716,0.0,0.0,0.0,0.0,1.5744174271404585,0.8985387657182411,0
20.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
50.0,20.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3516441151533924,0.35784811843708364,0
35.0,17.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3787834934861753,0.3585169326019688,0
40.0,31.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8423709931771084,0.195554840773891,1
40.0,25.0,7.0,2.0,0.0,0.0,0.0,8.0,0.2,0.0,0.0,0.0,0.0,1.3787834934861753,0.3585169326019688,1
48.0,24.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4488156357251847,0.4013580026428195,0
35.0,28.0,30.0,3.0,0.0,0.0,0.0,2.0,0.05714285714285714,0.0,0.0,0.0,0.0,1.4591479170272448,0.49653677492390513,1
127.0,50.0,20.0,4.0,1.0,0.0,1.0,24.0,0.1889763779527559,0.0,1.0,0.0,0.0,2.7550576199383077,0.6082479137786792,1
106.0,25.0,74.0,3.0,7.0,0.0,0.0,1.0,0.009433962264150943,0.0,0.0,0.0,0.0,1.7394541964918901,0.604836016599122,0
74.0,14.0,10.0,4.0,1.0,0.0,1.0,4.0,0.05405405405405406,0.0,0.0,0.0,0.0,2.523231428797621,1.1347952314782432,0
55.0,28.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.197159723424149,0.48786292911836987,0
30.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
32.0,18.0,7.0,3.0,0.0,0.0,0.0,2.0,0.0625,0.0,0.0,0.0,0.0,1.4488156357251847,0.4013580026428195,1
61.0,14.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3250112108241772,0.3930702079124647,1
79.0,31.0,33.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2988252450030506,0.3140357335429298,1
58.0,21.0,18.0,4.0,0.0,1.0,1.0,2.0,0.034482758620689655,0.0,0.0,0.0,0.0,2.251629167387823,0.7663300360409613,1
35.0,18.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3787834934861753,0.3585169326019688,1
70.0,16.0,46.0,2.0,0.0,0.0,0.0,2.0,0.02857142857142857,0.0,0.0,0.0,0.0,1.5709505944546687,0.38356731894214185,1
76.0,16.0,14.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.217021885879718,0.24243702713305587,1
31.0,23.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
42.0,15.0,19.0,2.0,0.0,0.0,0.0,8.0,0.19047619047619047,0.0,0.0,0.0,0.0,1.2987949406953985,0.37348134674036887,0
21.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
64.0,14.0,21.0,3.0,0.0,0.0,1.0,13.0,0.203125,0.0,0.0,0.0,0.0,2.0464393446710156,0.4934097420337102,0
38.0,27.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
60.0,22.0,31.0,1.0,2.0,0.0,0.0,5.0,0.08333333333333333,0.0,0.0,0.0,0.0,1.4182958340544896,0.3871443985358109,1
64.0,20.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3516441151533924,0.35784811843708364,0
145.0,25.0,113.0,4.0,1.0,0.0,0.0,15.0,0.10344827586206896,0.0,0.0,0.0,0.0,1.6113834567195195,0.22777695800848136,1
64.0,17.0,40.0,2.0,0.0,0.0,0.0,22.0,0.34375,0.0,0.0,0.0,0.0,1.3787834934861753,0.3585169326019688,1
18.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3709505944546687,0.416404578129279,0
32.0,23.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
130.0,31.0,82.0,2.0,2.0,0.0,1.0,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,2.5016094970590275,0.5004643853441971,1
84.0,17.0,60.0,3.0,1.0,0.0,0.0,3.0,0.03571428571428571,0.0,0.0,0.0,0.0,2.146465798504072,0.3455962540287928,0
271.0,20.0,78.0,5.0,0.0,0.0,1.0,84.0,0.30996309963099633,0.0,1.0,0.0,0.0,2.500503832755768,0.634284842941277,1
29.0,20.0,1.0,2.0,0.0,0.0,0.0,3.0,0.10344827586206896,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,1
73.0,17.0,49.0,1.0,3.0,0.0,0.0,7.0,0.0958904109589041,0.0,0.0,0.0,0.0,1.6854752972273346,0.4480693040111994,0
26.0,18.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4488156357251847,0.4013580026428195,0
42.0,34.0,1.0,2.0,2.0,0.0,0.0,6.0,0.14285714285714285,0.0,0.0,0.0,0.0,1.9056390622295665,0.2927316889661975,1
60.0,16.0,25.0,2.0,0.0,0.0,1.0,1.0,0.016666666666666666,0.0,0.0,0.0,0.0,1.9609640474436814,0.49987379066514287,1
126.0,50.0,20.0,4.0,1.0,0.0,1.0,14.0,0.1111111111111111,0.0,1.0,0.0,0.0,2.7550576199383077,0.6082479137786792,1
29.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
140.0,13.0,120.0,1.0,6.0,0.0,0.0,1.0,0.007142857142857143,0.0,1.0,0.0,0.0,1.6437519544205021,0.5338683929265123,1
21.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
18.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3709505944546687,0.416404578129279,0
41.0,16.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2987949406953985,0.37348134674036887,1
32.0,24.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
25.0,18.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5219280948873621,0.42344957488838875,0
58.0,40.0,11.0,5.0,0.0,0.0,0.0,2.0,0.034482758620689655,0.0,0.0,0.0,0.0,1.360964047443681,0.4573121916664634,1
46.0,23.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.836591668108979,0.2527498126060475,0
49.0,16.0,25.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9056390622295665,0.2927316889661975,0
81.0,20.0,54.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3520301017579528,0.3070564166167984,1
86.0,17.0,62.0,3.0,0.0,0.0,0.0,22.0,0.2558139534883721,0.0,0.0,0.0,0.0,1.295461844238322,0.3647918976800194,1
42.0,33.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8910611120726526,0.4321001303134834,0
62.0,10.0,45.0,1.0,0.0,0.0,0.0,22.0,0.3548387096774194,0.0,0.0,0.0,0.0,1.1488348542809166,0.47559235952736834,1
56.0,37.0,12.0,4.0,3.0,0.0,0.0,5.0,0.08928571428571429,0.0,0.0,0.0,0.0,1.867633890971212,0.39808345331347117,1
25.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
35.0,27.0,29.0,2.0,0.0,0.0,0.0,4.0,0.11428571428571428,0.0,0.0,0.0,0.0,1.5219280948873621,0.42344957488838875,1
